Instance;min sol
8x2_1_JobCorre_R_inter;326
8x2_1_JobCorre_R_uni;269
8x2_1_MachCorre_R_inter;172
8x2_1_MachCorre_R_uni;241
8x2_1_U_1_100__R_inter;194
8x2_1_U_1_100__R_uni;139
8x2_1_U_10_100__R_inter;204
8x2_1_U_10_100__R_uni;171
8x2_1_U_100_200__R_inter;544
8x2_1_U_100_200__R_uni;577
8x2_2_JobCorre_R_inter;225
8x2_2_JobCorre_R_uni;232
8x2_2_MachCorre_R_inter;66
8x2_2_MachCorre_R_uni;175
8x2_2_U_1_100__R_inter;115
8x2_2_U_1_100__R_uni;176
8x2_2_U_10_100__R_inter;133
8x2_2_U_10_100__R_uni;196
8x2_2_U_100_200__R_inter;517
8x2_2_U_100_200__R_uni;602
8x2_3_JobCorre_R_inter;262
8x2_3_JobCorre_R_uni;195
8x2_3_MachCorre_R_inter;192
8x2_3_MachCorre_R_uni;427
8x2_3_U_1_100__R_inter;106
8x2_3_U_1_100__R_uni;154
8x2_3_U_10_100__R_inter;133
8x2_3_U_10_100__R_uni;185
8x2_3_U_100_200__R_inter;504
8x2_3_U_100_200__R_uni;576
8x2_4_JobCorre_R_inter;128
8x2_4_JobCorre_R_uni;269
8x2_4_MachCorre_R_inter;272
8x2_4_MachCorre_R_uni;368
8x2_4_U_1_100__R_inter;184
8x2_4_U_1_100__R_uni;177
8x2_4_U_10_100__R_inter;194
8x2_4_U_10_100__R_uni;201
8x2_4_U_100_200__R_inter;598
8x2_4_U_100_200__R_uni;602
8x2_5_JobCorre_R_inter;462
8x2_5_JobCorre_R_uni;280
8x2_5_MachCorre_R_inter;107
8x2_5_MachCorre_R_uni;189
8x2_5_U_1_100__R_inter;193
8x2_5_U_1_100__R_uni;161
8x2_5_U_10_100__R_inter;212
8x2_5_U_10_100__R_uni;183
8x2_5_U_100_200__R_inter;591
8x2_5_U_100_200__R_uni;559
8x4_1_JobCorre_R_inter;124
8x4_1_JobCorre_R_uni;119
8x4_1_MachCorre_R_inter;174
8x4_1_MachCorre_R_uni;123
8x4_1_U_1_100__R_inter;80
8x4_1_U_1_100__R_uni;66
8x4_1_U_10_100__R_inter;91
8x4_1_U_10_100__R_uni;78
8x4_1_U_100_200__R_inter;279
8x4_1_U_100_200__R_uni;275
8x4_2_JobCorre_R_inter;164
8x4_2_JobCorre_R_uni;120
8x4_2_MachCorre_R_inter;60
8x4_2_MachCorre_R_uni;95
8x4_2_U_1_100__R_inter;90
8x4_2_U_1_100__R_uni;61
8x4_2_U_10_100__R_inter;98
8x4_2_U_10_100__R_uni;80
8x4_2_U_100_200__R_inter;300
8x4_2_U_100_200__R_uni;288
8x4_3_JobCorre_R_inter;152
8x4_3_JobCorre_R_uni;89
