Instance;min_sol;max_LB
8x2_1_JobCorre_R_inter;326;326
8x2_1_JobCorre_R_uni;269;269
8x2_1_MachCorre_R_inter;172;172
8x2_1_MachCorre_R_uni;241;241
8x2_1_U_1_100__R_inter;194;194
8x2_1_U_1_100__R_uni;139;139
8x2_1_U_10_100__R_inter;204;204
8x2_1_U_10_100__R_uni;171;171
8x2_1_U_100_200__R_inter;544;544
8x2_1_U_100_200__R_uni;577;577
8x2_2_JobCorre_R_inter;225;225
8x2_2_JobCorre_R_uni;232;232
8x2_2_MachCorre_R_inter;66;66
8x2_2_MachCorre_R_uni;175;175
8x2_2_U_1_100__R_inter;115;115
8x2_2_U_1_100__R_uni;176;176
8x2_2_U_10_100__R_inter;133;133
8x2_2_U_10_100__R_uni;196;196
8x2_2_U_100_200__R_inter;517;517
8x2_2_U_100_200__R_uni;602;602
8x2_3_JobCorre_R_inter;262;262
8x2_3_JobCorre_R_uni;195;195
8x2_3_MachCorre_R_inter;192;192
8x2_3_MachCorre_R_uni;427;427
8x2_3_U_1_100__R_inter;106;106
8x2_3_U_1_100__R_uni;154;154
8x2_3_U_10_100__R_inter;133;133
8x2_3_U_10_100__R_uni;185;185
8x2_3_U_100_200__R_inter;504;504
8x2_3_U_100_200__R_uni;576;576
8x2_4_JobCorre_R_inter;128;128
8x2_4_JobCorre_R_uni;269;269
8x2_4_MachCorre_R_inter;272;272
8x2_4_MachCorre_R_uni;368;368
8x2_4_U_1_100__R_inter;184;184
8x2_4_U_1_100__R_uni;177;177
8x2_4_U_10_100__R_inter;194;194
8x2_4_U_10_100__R_uni;201;201
8x2_4_U_100_200__R_inter;598;598
8x2_4_U_100_200__R_uni;602;602
8x2_5_JobCorre_R_inter;462;462
8x2_5_JobCorre_R_uni;280;280
8x2_5_MachCorre_R_inter;107;107
8x2_5_MachCorre_R_uni;189;189
8x2_5_U_1_100__R_inter;193;193
8x2_5_U_1_100__R_uni;161;161
8x2_5_U_10_100__R_inter;212;212
8x2_5_U_10_100__R_uni;183;183
8x2_5_U_100_200__R_inter;591;591
8x2_5_U_100_200__R_uni;559;559
8x4_1_JobCorre_R_inter;124;124
