INSTANCIA;LITERATURA;MELHOR;AVG;RPDbst;RPDavg
30x4_3_U_10_100__R_uni;217;222.0;227.3;0.02;0.05
30x2_1_JobCorre_R_uni;787;791.0;796.5;0.01;0.01
20x2_4_U_1_100__R_uni;318;328.0;330.7;0.03;0.04
20x4_5_U_1_100__R_uni;118;129.0;132.2;0.09;0.12
25x6_3_U_10_100__R_inter;91;92.0;96.5;0.01;0.06
20x4_1_MachCorre_R_inter;164;169.0;170.5;0.03;0.04
25x2_3_JobCorre_R_inter;1009;1013.0;1023.0;0.00;0.01
30x2_4_U_10_100__R_uni;630;646.0;668.8;0.03;0.06
30x6_2_JobCorre_R_inter;310;303.0;316.2;-0.02;0.02
20x6_2_U_100_200__R_uni;437;438.0;454.4;0.00;0.04
25x4_2_U_10_100__R_inter;164;164.0;164.2;0.00;0.00
30x6_1_U_100_200__R_inter;580;580.0;587.9;0.00;0.01
25x2_2_JobCorre_R_inter;785;788.0;803.8;0.00;0.02
20x2_1_U_10_100__R_uni;397;397.0;406.5;0.00;0.02
30x2_1_U_10_100__R_inter;761;755.0;762.5;-0.01;0.00
30x2_4_U_100_200__R_inter;1966;1966.0;1966.0;0.00;0.00
20x2_1_MachCorre_R_uni;555;548.0;548.8;-0.01;-0.01
25x4_4_U_10_100__R_inter;188;188.0;190.3;0.00;0.01
20x6_4_U_10_100__R_inter;76;73.0;80.8;-0.04;0.06
20x2_5_JobCorre_R_inter;633;644.0;655.6;0.02;0.04
20x4_2_JobCorre_R_uni;278;279.0;288.7;0.00;0.04
30x4_2_JobCorre_R_uni;465;473.0;475.6;0.02;0.02
25x6_4_U_100_200__R_uni;525;525.0;551.1;0.00;0.05
20x4_4_JobCorre_R_inter;254;253.0;256.9;-0.00;0.01
25x2_1_U_100_200__R_uni;1783;1696.0;1714.3;-0.05;-0.04
25x4_4_U_1_100__R_inter;142;145.0;149.5;0.02;0.05
30x6_1_MachCorre_R_uni;255;266.0;268.2;0.04;0.05
25x6_1_JobCorre_R_inter;236;231.0;238.5;-0.02;0.01
30x6_3_U_10_100__R_uni;132;134.0;143.4;0.02;0.09
20x4_1_JobCorre_R_inter;374;356.0;360.5;-0.05;-0.04
30x2_5_MachCorre_R_uni;900;866.0;870.1;-0.04;-0.03
25x4_4_JobCorre_R_uni;381;370.0;374.2;-0.03;-0.02
25x2_5_U_10_100__R_uni;647;620.0;626.2;-0.04;-0.03
30x2_2_U_10_100__R_uni;563;577.0;584.9;0.02;0.04
30x2_3_U_1_100__R_uni;726;683.0;695.6;-0.06;-0.04
20x6_5_JobCorre_R_inter;164;168.0;170.3;0.02;0.04
25x4_3_U_10_100__R_inter;170;170.0;171.0;0.00;0.01
20x4_5_MachCorre_R_uni;236;241.0;245.1;0.02;0.04
20x4_1_U_10_100__R_inter;150;150.0;153.8;0.00;0.03
20x6_4_U_100_200__R_inter;420;422.0;426.5;0.00;0.02
20x6_1_MachCorre_R_uni;58;77.0;80.9;0.33;0.39
30x6_3_MachCorre_R_uni;217;213.0;219.8;-0.02;0.01
20x2_2_JobCorre_R_inter;762;774.0;800.5;0.02;0.05
30x4_1_U_10_100__R_inter;214;214.0;217.3;0.00;0.02
20x6_4_MachCorre_R_uni;185;189.0;191.2;0.02;0.03
30x2_3_U_100_200__R_inter;1953;1953.0;1953.0;0.00;0.00
20x4_3_MachCorre_R_inter;202;205.0;208.0;0.01;0.03
30x2_5_U_1_100__R_uni;412;416.0;419.9;0.01;0.02
25x4_4_U_1_100__R_uni;162;160.0;167.0;-0.01;0.03
25x4_4_JobCorre_R_inter;409;388.0;403.0;-0.05;-0.01
20x2_5_U_10_100__R_inter;531;534.0;534.7;0.01;0.01
25x4_4_U_10_100__R_uni;209;205.0;211.2;-0.02;0.01
20x6_1_JobCorre_R_uni;194;204.0;207.3;0.05;0.07
25x2_4_JobCorre_R_uni;685;688.0;689.3;0.00;0.01
20x4_1_U_1_100__R_uni;106;112.0;119.5;0.06;0.13
30x6_2_U_10_100__R_uni;122;122.0;136.6;0.00;0.12
30x2_2_JobCorre_R_uni;810;813.0;819.4;0.00;0.01
30x6_1_MachCorre_R_inter;211;222.0;223.6;0.05;0.06
30x6_2_U_1_100__R_uni;84;85.0;95.9;0.01;0.14
25x2_2_U_1_100__R_inter;807;839.0;846.4;0.04;0.05
20x6_4_U_1_100__R_uni;77;78.0;78.9;0.01;0.02
20x4_2_U_100_200__R_inter;626;626.0;626.0;0.00;0.00
25x4_3_JobCorre_R_uni;328;331.0;334.0;0.01;0.02
25x2_3_MachCorre_R_uni;639;628.0;629.7;-0.02;-0.01
30x2_2_MachCorre_R_uni;543;520.0;521.2;-0.04;-0.04
20x2_1_U_100_200__R_uni;1397;1351.0;1377.7;-0.03;-0.01
25x6_4_U_10_100__R_uni;106;104.0;110.2;-0.02;0.04
20x6_5_U_10_100__R_uni;89;95.0;99.4;0.07;0.12
30x4_2_U_1_100__R_uni;179;191.0;194.5;0.07;0.09
25x6_3_U_100_200__R_uni;545;550.0;567.6;0.01;0.04
20x6_4_U_10_100__R_uni;98;99.0;101.2;0.01;0.03
25x2_5_U_1_100__R_inter;490;492.0;492.0;0.00;0.00
30x2_2_U_1_100__R_uni;470;482.0;485.0;0.03;0.03
20x2_4_JobCorre_R_uni;495;495.0;495.0;0.00;0.00
25x4_3_U_100_200__R_uni;797;797.0;798.1;0.00;0.00
30x4_5_U_10_100__R_uni;257;257.0;263.3;0.00;0.02
30x4_3_U_100_200__R_inter;932;932.0;938.1;0.00;0.01
25x6_2_U_100_200__R_inter;541;541.0;555.2;0.00;0.03
20x4_5_U_1_100__R_inter;109;109.0;109.4;0.00;0.00
30x4_1_U_100_200__R_uni;883;883.0;889.3;0.00;0.01
25x6_1_U_100_200__R_uni;538;547.0;558.2;0.02;0.04
30x6_5_MachCorre_R_inter;494;438.0;454.2;-0.11;-0.08
20x4_4_U_100_200__R_inter;604;604.0;604.6;0.00;0.00
20x6_1_U_100_200__R_inter;440;449.0;457.2;0.02;0.04
20x6_3_U_100_200__R_uni;448;451.0;455.8;0.01;0.02
25x2_4_MachCorre_R_inter;324;324.0;324.0;0.00;0.00
30x4_5_U_100_200__R_inter;903;903.0;907.4;0.00;0.00
25x2_5_JobCorre_R_uni;768;758.0;759.8;-0.01;-0.01
20x6_2_U_1_100__R_uni;60;60.0;72.6;0.00;0.21
30x6_5_U_1_100__R_uni;98;99.0;110.5;0.01;0.13
25x6_2_MachCorre_R_uni;211;214.0;217.1;0.01;0.03
25x2_1_JobCorre_R_inter;768;772.0;778.0;0.01;0.01
30x6_5_U_10_100__R_inter;126;128.0;136.0;0.02;0.08
20x4_4_U_10_100__R_uni;170;170.0;175.5;0.00;0.03
30x2_3_U_1_100__R_inter;483;477.0;491.4;-0.01;0.02
25x6_3_MachCorre_R_inter;197;203.0;206.5;0.03;0.05
30x6_2_U_100_200__R_uni;599;599.0;607.5;0.00;0.01
25x4_5_MachCorre_R_uni;365;367.0;371.1;0.01;0.02
30x6_5_U_10_100__R_uni;132;135.0;145.9;0.02;0.11
25x4_1_MachCorre_R_uni;145;150.0;156.1;0.03;0.08
30x6_2_JobCorre_R_uni;246;239.0;245.2;-0.03;-0.00
20x2_3_U_1_100__R_inter;474;474.0;485.6;0.00;0.02
30x4_4_MachCorre_R_inter;155;167.0;171.9;0.08;0.11
30x6_2_U_100_200__R_inter;591;598.0;602.9;0.01;0.02
20x4_4_U_10_100__R_inter;134;134.0;134.2;0.00;0.00
30x4_4_MachCorre_R_uni;380;382.0;385.1;0.01;0.01
20x6_5_U_100_200__R_uni;428;444.0;461.4;0.04;0.08
25x4_3_U_1_100__R_uni;154;154.0;157.5;0.00;0.02
20x2_3_MachCorre_R_uni;682;676.0;677.6;-0.01;-0.01
20x6_4_U_100_200__R_uni;438;455.0;464.5;0.04;0.06
30x6_3_U_100_200__R_uni;622;607.0;620.1;-0.02;-0.00
30x4_1_MachCorre_R_inter;293;291.0;293.3;-0.01;0.00
20x2_5_MachCorre_R_uni;497;492.0;494.1;-0.01;-0.01
20x6_2_U_1_100__R_inter;82;82.0;87.0;0.00;0.06
20x2_1_U_1_100__R_inter;398;398.0;411.3;0.00;0.03
20x2_2_U_100_200__R_inter;1364;1364.0;1364.0;0.00;0.00
30x2_4_JobCorre_R_inter;711;689.0;695.6;-0.03;-0.02
20x4_3_U_10_100__R_uni;162;167.0;170.4;0.03;0.05
30x6_3_U_1_100__R_inter;79;79.0;86.3;0.00;0.09
25x2_5_U_100_200__R_inter;1805;1732.0;1733.5;-0.04;-0.04
30x6_4_U_1_100__R_inter;66;66.0;70.2;0.00;0.06
30x6_4_MachCorre_R_inter;110;117.0;122.1;0.06;0.11
25x2_1_U_10_100__R_inter;677;684.0;712.7;0.01;0.05
30x4_2_U_100_200__R_uni;958;943.0;953.2;-0.02;-0.01
25x2_5_MachCorre_R_uni;1099;1062.0;1069.0;-0.03;-0.03
30x4_2_U_1_100__R_inter;139;139.0;140.0;0.00;0.01
30x4_1_U_1_100__R_uni;127;127.0;128.2;0.00;0.01
25x6_4_MachCorre_R_inter;217;225.0;226.9;0.04;0.05
25x4_5_MachCorre_R_inter;240;246.0;250.1;0.03;0.04
30x6_3_JobCorre_R_inter;270;257.0;264.2;-0.05;-0.02
25x2_4_MachCorre_R_uni;568;560.0;562.4;-0.01;-0.01
30x6_1_U_100_200__R_uni;662;609.0;622.1;-0.08;-0.06
30x4_3_JobCorre_R_inter;432;417.0;419.2;-0.03;-0.03
30x2_1_U_100_200__R_uni;2249;2205.0;2212.9;-0.02;-0.02
30x2_3_U_10_100__R_inter;552;552.0;576.0;0.00;0.04
25x4_5_U_10_100__R_inter;198;198.0;198.1;0.00;0.00
25x2_4_U_10_100__R_uni;479;481.0;481.0;0.00;0.00
25x6_5_JobCorre_R_inter;288;284.0;286.5;-0.01;-0.01
25x2_5_U_10_100__R_inter;577;550.0;565.5;-0.05;-0.02
20x2_2_JobCorre_R_uni;690;690.0;691.1;0.00;0.00
20x2_3_JobCorre_R_uni;678;671.0;676.8;-0.01;-0.00
30x6_3_JobCorre_R_uni;273;286.0;291.6;0.05;0.07
30x4_5_MachCorre_R_uni;216;228.0;230.7;0.06;0.07
25x6_5_U_1_100__R_uni;71;78.0;85.4;0.10;0.20
20x2_2_MachCorre_R_uni;189;189.0;189.0;0.00;0.00
25x4_2_U_1_100__R_uni;130;134.0;138.4;0.03;0.06
30x6_1_U_1_100__R_uni;82;82.0;91.4;0.00;0.11
30x2_2_U_1_100__R_inter;512;501.0;504.6;-0.02;-0.01
20x6_3_MachCorre_R_uni;163;167.0;168.8;0.02;0.04
20x6_5_U_100_200__R_inter;428;443.0;449.3;0.04;0.05
20x4_1_U_1_100__R_inter;113;115.0;120.3;0.02;0.06
20x2_2_U_10_100__R_uni;443;452.0;452.9;0.02;0.02
30x4_5_U_1_100__R_uni;218;205.0;209.9;-0.06;-0.04
30x2_3_JobCorre_R_uni;770;775.0;780.2;0.01;0.01
20x2_3_U_1_100__R_uni;383;378.0;398.5;-0.01;0.04
25x6_1_U_10_100__R_uni;102;105.0;110.5;0.03;0.08
20x4_2_U_1_100__R_inter;110;110.0;110.0;0.00;0.00
25x6_4_JobCorre_R_uni;263;258.0;262.3;-0.02;-0.00
30x4_3_U_1_100__R_inter;176;176.0;177.7;0.00;0.01
20x2_4_U_100_200__R_inter;1289;1289.0;1290.6;0.00;0.00
25x6_4_U_100_200__R_inter;531;531.0;532.9;0.00;0.00
25x4_3_MachCorre_R_uni;348;356.0;360.3;0.02;0.04
30x2_5_MachCorre_R_inter;1342;1294.0;1338.2;-0.04;-0.00
20x6_2_U_100_200__R_inter;456;456.0;459.5;0.00;0.01
25x6_2_U_10_100__R_uni;126;125.0;140.3;-0.01;0.11
20x4_5_JobCorre_R_uni;409;404.0;407.8;-0.01;-0.00
25x4_2_MachCorre_R_uni;323;329.0;332.6;0.02;0.03
25x2_4_U_1_100__R_uni;388;403.0;406.5;0.04;0.05
25x4_5_JobCorre_R_inter;330;324.0;325.6;-0.02;-0.01
30x2_3_JobCorre_R_inter;1314;1312.0;1342.2;-0.00;0.02
30x6_4_U_100_200__R_inter;574;576.0;581.2;0.00;0.01
20x2_4_U_100_200__R_uni;1325;1310.0;1326.7;-0.01;0.00
25x4_5_U_100_200__R_uni;885;818.0;833.6;-0.08;-0.06
30x2_4_U_100_200__R_uni;2092;2074.0;2096.5;-0.01;0.00
30x4_5_JobCorre_R_uni;405;392.0;398.3;-0.03;-0.02
30x4_5_U_1_100__R_inter;151;151.0;153.2;0.00;0.01
30x2_4_MachCorre_R_inter;544;544.0;545.2;0.00;0.00
20x4_2_U_1_100__R_uni;103;110.0;118.7;0.07;0.15
20x2_3_U_100_200__R_inter;1466;1415.0;1435.1;-0.03;-0.02
20x2_2_U_10_100__R_inter;427;427.0;427.0;0.00;0.00
20x6_3_U_10_100__R_uni;89;91.0;97.4;0.02;0.09
20x4_2_JobCorre_R_inter;328;312.0;321.9;-0.05;-0.02
30x2_4_U_1_100__R_uni;543;572.0;587.5;0.05;0.08
25x4_2_JobCorre_R_uni;418;426.0;428.2;0.02;0.02
20x4_5_U_10_100__R_inter;152;152.0;152.0;0.00;0.00
20x2_3_JobCorre_R_inter;582;573.0;576.2;-0.02;-0.01
20x6_3_JobCorre_R_uni;233;237.0;239.3;0.02;0.03
20x4_1_U_100_200__R_uni;631;626.0;628.4;-0.01;-0.00
25x4_1_U_100_200__R_inter;757;758.0;760.1;0.00;0.00
30x2_2_U_100_200__R_uni;2044;1984.0;2008.5;-0.03;-0.02
25x4_1_U_1_100__R_uni;169;168.0;177.3;-0.01;0.05
25x6_3_MachCorre_R_uni;217;207.0;214.6;-0.05;-0.01
30x2_1_MachCorre_R_inter;331;331.0;331.0;0.00;0.00
25x6_4_MachCorre_R_uni;158;161.0;165.7;0.02;0.05
30x4_4_U_1_100__R_uni;108;108.0;115.6;0.00;0.07
20x2_3_MachCorre_R_inter;1024;1028.0;1028.0;0.00;0.00
25x2_3_U_10_100__R_inter;485;477.0;479.7;-0.02;-0.01
30x2_2_JobCorre_R_inter;1131;1072.0;1090.3;-0.05;-0.04
20x6_2_U_10_100__R_uni;88;89.0;102.9;0.01;0.17
25x2_4_JobCorre_R_inter;846;844.0;868.5;-0.00;0.03
20x6_5_U_1_100__R_uni;66;65.0;74.5;-0.02;0.13
